root,file,ra,dec,srcid,msamet,slitid,grating,exptime,wmin,wmax,sn50,flux50,ctime,version,References,nRef,zfit,z,grade,reviewer,comment,thumb,slit_thumb,FITS,fnu,flam,has_v3,flam_v3
gds-deep-v4,gds-deep-v4_g235m-f170lp_1210_13301.spec.fits,53.1227815,-27.8113462,13301,jw01210001002_02_msa.fits,290,G235M_F170LP,8315.7,1.61,4.27,0.9,0.18,36:45.9,0.9.5.dev2+g80b81b4,ABu23  z=3.587,1,3.587,3.587,3,Auto,Redshift matches gds-deep-v3_prism-clear_1210_13301 z=3.5901,,,FITS   d2d,,,1,
jades-gds06-v4,jades-gds06-v4_g395m-f290lp_1286_174463.spec.fits,53.0857263,-27.8680312,174463,jw01286006001_04_msa.fits,589,G395M_F290LP,8534.5,2.69,5.5,0.8,0.18,50:51.8,0.9.5.dev2+g80b81b4,-,0,1.7391,1.7391,3,Auto,Redshift matches jades-gds06-v3_g235m-f170lp_1286_174463 z=1.7384,,,FITS   d2d,,,1,
jades-gds04-v4,jades-gds04-v4_g395h-f290lp_1286_11813.spec.fits,53.0635861,-27.8924311,11813,jw01286004001_01_msa.fits,73,G395H_F290LP,8534.5,2.83,4.48,0.5,0.18,50:33.9,0.9.5.dev2+g80b81b4,-,0,1.7391,1.7391,3,Auto,Redshift matches jades-gds04-v3_g395h-f290lp_1286_11813 z=1.7388,,,FITS   d2d,,,1,
jades-gds-wide2-v4,jades-gds-wide2-v4_g140m-f070lp_1180_5658.spec.fits,53.1664764,-27.8173269,5658,jw01180135001_04_msa.fits,574,G140M_F070LP,6127.3,0.66,2.36,0.5,0.179,55:48.0,0.9.5.dev2+g80b81b4,-,0,3.0682,3.0682,3,Auto,Redshift matches jades-gds-wide2-v3_g235m-f170lp_1180_5658 z=3.0671,,,FITS   d2d,,,1,
jades-gds10-v4,jades-gds10-v4_g395m-f290lp_1287_282835.spec.fits,53.1208039,-27.8917179,282835,jw01287001001_01_msa.fits,13,G395M_F290LP,16631.3,2.69,5.5,1.3,0.179,45:27.0,0.9.4.dev7+g92b1aa6,-,0,3.0831,3.0831,3,Auto,Redshift matches jades-gds10-v4_prism-clear_1287_282835 z=3.0807,,,FITS   d2d,,,0,
jades-gds-wide-v4,jades-gds-wide-v4_g235m-f170lp_1180_6277.spec.fits,53.134712,-27.7993234,6277,jw01180027001_04_msa.fits,680,G235M_F170LP,3063.7,1.61,4.34,0.4,0.179,28:48.0,0.9.5.dev2+g80b81b4,-,0,3.2565,3.2565,3,Auto,Redshift matches jades-gds-wide-v3_g235m-f170lp_1180_6277 z=3.2572,,,FITS   d2d,,,1,
jades-gds10-v4,jades-gds10-v4_prism-clear_1287_159617.spec.fits,53.0683702,-27.90179,159617,jw01287001001_02_msa.fits,281,PRISM_CLEAR,33262.7,0.55,5.5,7.2,0.179,42:54.0,0.9.4.dev7+g92b1aa6,-,0,2.3549,2.3549,3,GBr,,,,FITS   d2d,,,1,
jades-gds06-v4,jades-gds06-v4_g140m-f070lp_1286_168873.spec.fits,53.0530943,-27.8772556,168873,jw01286006001_01_msa.fits,110,G140M_F070LP,8534.5,0.66,2.58,0.4,0.179,50:58.1,0.9.5.dev2+g80b81b4,-,0,3.3879,3.3879,3,Auto,Redshift matches jades-gds06-v3_g235m-f170lp_1286_168873 z=3.3874,,,FITS   d2d,,,1,
jades-gds-w05-v4,jades-gds-w05-v4_prism-clear_1212_4933.spec.fits,53.13509732,-27.80978166,41,jw01212005001_01_msa.fits,41,PRISM_CLEAR,2407.2,0.55,5.5,4.6,0.179,59:10.5,0.9.5.dev2+g80b81b4,-,0,1.7677,1.7677,3,Auto,Redshift matches jades-gds-w05-v3_g235h-f170lp_b41 z=1.7644,,,FITS   d2d,,,1,
jades-gds04-v4,jades-gds04-v4_prism-clear_1286_178845.spec.fits,53.0548084,-27.861377,178845,jw01286004001_06_msa.fits,897,PRISM_CLEAR,8534.5,0.55,5.5,6.5,0.179,49:55.8,0.9.5.dev2+g80b81b4,-,0,2.6235,2.6235,3,Auto,Redshift matches jades-gds04-v3_g235m-f170lp_1286_178845 z=2.6124,,,FITS   d2d,,,1,
jades-gds04-v4,jades-gds04-v4_g395m-f290lp_1286_186024.spec.fits,53.0803803,-27.8506354,186024,jw01286004001_04_msa.fits,570,G395M_F290LP,8534.5,2.69,5.5,1.3,0.178,49:01.8,0.9.5.dev2+g80b81b4,-,0,1.6115,1.6115,3,Auto,Redshift matches jades-gds04-v3_g140m-f070lp_1286_186024 z=1.6119,,,FITS   d2d,,,1,
gds-udeep-v4,gds-udeep-v4_g140m-f070lp_3215_111015.spec.fits,53.1207781,-27.801645,111015,jw03215001003_01_msa.fits,91,G140M_F070LP,24947,0.66,2.6,1,0.178,43:39.7,0.9.5.dev2+g80b81b4,-,0,2.6292,2.6292,3,Auto,Redshift matches jades-gds05-v3_g235m-f170lp_1286_111015 z=2.6283,,,FITS   d2d,,,1,
jades-gds02-v4,jades-gds02-v4_g140m-f070lp_1286_163927.spec.fits,53.0822957,-27.888684,163927,jw01286002001_01_msa.fits,130,G140M_F070LP,2844.8,0.74,2.56,0.3,0.178,11:25.9,0.9.5.dev2+g80b81b4,-,0,1.2646,1.2646,3,Auto,Redshift matches jades-gds02-v3_g395h-f290lp_1286_163927 z=1.2591,,,FITS   d2d,,,1,
jades-gds-wide2-v4,jades-gds-wide2-v4_g140m-f070lp_1180_13316.spec.fits,53.1244399,-27.8004242,13316,jw01180135001_01_msa.fits,118,G140M_F070LP,9191,0.66,2.61,0.9,0.178,54:58.6,0.9.5.dev2+g80b81b4,-,0,3.705,3.705,3,Auto,Redshift matches jades-gds-wide2-v3_g395m-f290lp_1180_13316 z=3.7044,,,FITS   d2d,,,1,
jades-gds-w04-v4,jades-gds-w04-v4_prism-clear_1212_5447.spec.fits,53.0551624,-27.87409637,5447,jw01212054001_01_msa.fits,128,PRISM_CLEAR,2407.2,0.55,5.5,4.9,0.178,59:58.2,0.9.5.dev2+g80b81b4,-,0,2.8037,2.8037,3,GBr,,,,FITS   d2d,,,0,
gds-deep-v4,gds-deep-v4_g395h-f290lp_1210_13301.spec.fits,53.1227815,-27.8113462,13301,jw01210001002_02_msa.fits,290,G395H_F290LP,8315.7,2.83,4.45,0.6,0.178,36:42.4,0.9.5.dev2+g80b81b4,ABu23  z=3.587,1,3.5873,3.5873,3,Auto,Redshift matches gds-deep-v3_prism-clear_1210_13301 z=3.5901,,,FITS   d2d,,,1,
jades-gds03-v4,jades-gds03-v4_g140m-f070lp_1286_35299.spec.fits,53.0643821,-27.8744896,35299,jw01286003001_01_msa.fits,123,G140M_F070LP,5689.7,0.69,2.59,0.6,0.178,47:32.5,0.9.5.dev2+g80b81b4,-,0,3.2177,3.2177,3,Auto,Redshift matches jades-gds03-v3_g140m-f070lp_1286_35299 z=3.2335,,,FITS   d2d,,,1,
jades-gds06-v4,jades-gds06-v4_g395h-f290lp_1286_172135.spec.fits,53.0920893,-27.8729222,172135,jw01286006001_01_msa.fits,47,G395H_F290LP,5689.7,2.83,4.32,0.5,0.178,49:26.0,0.9.5.dev2+g80b81b4,-,0,1.569,1.569,3,Auto,Redshift matches jades-gds06-v3_g140m-f070lp_1286_172135 z=1.5695,,,FITS   d2d,,,1,
jades-gds-wide2-v4,jades-gds-wide2-v4_g235m-f170lp_1180_13519.spec.fits,53.1362839,-27.8103953,13519,jw01180135001_04_msa.fits,607,G235M_F170LP,9191,1.61,4.36,0.9,0.177,58:17.1,0.9.5.dev2+g80b81b4,CSi23  z=N/A,1,4.037,4.037,3,Auto,Redshift matches jades-gds-wide2-v3_g140m-f070lp_1180_13519 z=4.0384,,,FITS   d2d,,,1,
jades-gds10-v4,jades-gds10-v4_g395h-f290lp_1287_158584.spec.fits,53.1181596,-27.9060094,158584,jw01287001003_01_msa.fits,7,G395H_F290LP,16631.3,2.83,3.98,0.8,0.177,45:05.4,0.9.4.dev7+g92b1aa6,-,0,1.8149,1.8149,3,Auto,Redshift matches jades-gds10-v4_prism-clear_1287_158584 z=1.8142,,,FITS   d2d,,,0,
jades-gds-wide-v4,jades-gds-wide-v4_g140m-f070lp_1180_6022.spec.fits,53.1638326,-27.8041734,6022,jw01180027001_04_msa.fits,696,G140M_F070LP,3063.7,0.7,1.99,0.5,0.177,28:21.7,0.9.5.dev2+g80b81b4,-,0,2.3084,2.3084,3,Auto,Redshift matches jades-gds-wide-v3_g235m-f170lp_1180_6022 z=2.3097,,,FITS   d2d,,,1,
jades-gds1-v4,jades-gds1-v4_g395h-f290lp_1286_39271.spec.fits,53.1462631,-27.8106556,39271,jw01286001001_05_msa.fits,777,G395H_F290LP,7878,2.83,4.49,0.5,0.177,55:48.1,0.9.5.dev2+g80b81b4,KSc21  z=4.368,1,2.6923,2.6923,3,Auto,Redshift matches jades-gds1-v3_prism-clear_1286_39271 z=2.6914,,,FITS   d2d,,,1,
jades-gds02-v4,jades-gds02-v4_g140m-f070lp_1286_41862.spec.fits,53.1423644,-27.8688836,41862,jw01286002001_05_msa.fits,662,G140M_F070LP,8534.5,0.66,2.2,1.2,0.177,48:10.1,0.9.5.dev2+g80b81b4,-,0,1.837,1.837,3,Auto,Redshift matches jades-gds02-v3_g140m-f070lp_1286_41862 z=1.8370,,,FITS   d2d,,,1,
gds-deep-v4,gds-deep-v4_g395m-f290lp_1210_9489.spec.fits,53.168717,-27.8151743,9489,jw01210001001_01_msa.fits,89,G395M_F290LP,24947,2.69,5.5,0.9,0.177,42:45.8,0.9.5.dev2+g80b81b4,CSi23  z=N/A ;  ABu23  z=4.023 ;  CSi23  z=N/A,3,4.0243,4.0243,3,Auto,Redshift matches gds-deep-v3_g140m-f070lp_1210_9489 z=4.0251,,,FITS   d2d,,,1,
jades-gds06-v4,jades-gds06-v4_g395h-f290lp_1286_172168.spec.fits,53.1000327,-27.8728831,172168,jw01286006001_04_msa.fits,559,G395H_F290LP,8534.5,2.83,4.15,0.4,0.177,50:20.8,0.9.5.dev2+g80b81b4,-,0,5.5682,5.5682,3,Auto,Redshift matches jades-gds06-v3_g235m-f170lp_1286_172168 z=5.5846,,,FITS   d2d,,,1,
jades-gds-w06-v4,jades-gds-w06-v4_prism-clear_1212_3430.spec.fits,53.09980785,-27.8835435,70,jw01212006001_01_msa.fits,70,PRISM_CLEAR,2407.2,0.55,5.5,3.7,0.177,58:11.8,0.9.5.dev2+g80b81b4,-,0,1.0984,1.0984,3,Auto,Redshift matches jades-gds-w06-v3_g235h-f170lp_b70 z=1.1010,,,FITS   d2d,,,1,
